partition,offset,timestamp,timestampType,key,value,headers,exceededFields
1,196,1730456397241,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[501330],""data"":[[""2024-11-01 10:19:56"",213114122496591,""fraud_Beier-Hyatt"",""shopping_pos"",22.85,""Jeremy"",""Perry"",""M"",""797 Jennifer Loop Suite 634"",""Minnesota Lake"",""MN"",56068,43.8295,-93.8282,1087,""Music tutor"",""1963-07-14"",""0987c9cd1444840a304e61066f7fc5d4"",1730456396901,43.255149,-93.18654,0]]}",[],null
1,195,1730456379741,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[333017],""data"":[[""2024-11-01 10:19:39"",""4311368326621416041"",""fraud_Shields-Wunsch"",""health_fitness"",14.34,""Phillip"",""Delacruz"",""M"",""26678 Lisa Locks Apt. 904"",""Iliff"",""CO"",80736,40.7692,-103.0968,648,""Community arts worker"",""1969-09-21"",""b85ec60977ba0f0f47f5918074d4e5ab"",1730456379426,41.487686,-104.012745,0]]}",[],null
1,194,1730449768773,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[353220],""data"":[[""2024-11-01 08:29:28"",4587577161160601,""fraud_Kris-Weimann"",""misc_net"",1.52,""Tina"",""Lawrence"",""F"",""12444 Jacob Pines"",""Nobleboro"",""ME"",4555,44.0943,-69.4828,1643,""Financial trader"",""1976-04-12"",""706b489ae3a251d17ceb2d97ddc5780c"",1730449768486,43.492459,-69.727824,0]]}",[],null
1,193,1730449751225,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[441850],""data"":[[""2024-11-01 08:29:10"",4585132874641,""fraud_Hayes, Marquardt and Dibbert"",""misc_net"",8.03,""Karen"",""Gordon"",""F"",""543 Ware Path Apt. 593"",""Utica"",""MO"",64686,39.7417,-93.6289,271,""Land/geomatics surveyor"",""1972-04-18"",""7703d2555516b32aebc35fe81e0579fe"",1730449750960,40.237232,-92.803432,0]]}",[],null
1,192,1730449733730,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[439016],""data"":[[""2024-11-01 08:28:53"",2305336922781618,""fraud_Watsica LLC"",""personal_care"",81.73,""Jeffrey"",""Rice"",""M"",""21447 Powell Circle"",""Moulton"",""IA"",52572,40.6866,-92.6833,1132,""Probation officer"",""1961-02-14"",""810e0403106ed2110e2a2208f17eec64"",1730449733461,40.016824,-92.663472,0]]}",[],null
1,191,1730449404518,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[306178],""data"":[[""2024-11-01 08:23:24"",4279161831637,""fraud_Kihn, Brakus and Goyette"",""personal_care"",26.17,""Lisa"",""Hendrix"",""F"",""35737 Kirby Fall Suite 409"",""Vanderbilt"",""PA"",15486,40.0246,-79.6955,2303,""Physiotherapist"",""1987-08-16"",""fc341e2fd8257b5b9e02187d2e4a43eb"",1730449404244,39.59143,-79.732761,0]]}",[],null
1,190,1730449386784,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[399394],""data"":[[""2024-11-01 08:23:06"",3567697931646329,""fraud_Dickinson-Rempel"",""misc_pos"",2.05,""John"",""Stevens"",""M"",""428 Morgan River"",""Hudson"",""NY"",12534,42.247,-73.7552,17867,""Travel agency manager"",""1998-07-29"",""b541447cfa8ff1751919d8982f13cfa7"",1730449386490,41.969373,-74.308157,0]]}",[],null
1,189,1730449368334,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[497023],""data"":[[""2024-11-01 08:22:48"",""4646845581490336108"",""fraud_Rowe, Batz and Goodwin"",""grocery_pos"",177.69,""Julia"",""Bell"",""F"",""576 House Crossroad"",""West Sayville"",""NY"",11796,40.732,-73.1,4056,""Film/video editor"",""1990-06-25"",""42c1b7f94ec0f248e928adf674860173"",1730449368061,40.064325,-73.762199,0]]}",[],null
1,188,1730449350883,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[221781],""data"":[[""2024-11-01 08:22:30"",4169759661243568,""fraud_Jenkins, Hauck and Friesen"",""gas_transport"",62.21,""Jamie"",""Carr"",""F"",""55363 Aaron Circle Suite 450"",""Lawn"",""PA"",17041,40.2236,-76.538,213,""Special educational needs teacher"",""1972-02-15"",""d4eb5aa13f128f105360892fc7e87b12"",1730449350586,40.131602,-75.695443,0]]}",[],null
1,187,1730403664524,"""CREATE_TIME""","""dummy""","{""columns"":[""trans_date_trans_time"",""cc_num"",""merchant"",""category"",""amt"",""first"",""last"",""gender"",""street"",""city"",""state"",""zip"",""lat"",""long"",""city_pop"",""job"",""dob"",""trans_num"",""unix_time"",""merch_lat"",""merch_long"",""is_fraud""],""index"":[134494],""data"":[[""2024-10-31 19:41:04"",4998109455173950,""fraud_Prosacco, Kreiger and Kovacek"",""home"",24.37,""Mary"",""Pruitt"",""F"",""2819 Luke Greens Suite 563"",""Kansas City"",""MO"",64114,38.9621,-94.5959,545147,""Counsellor"",""1987-11-18"",""f4bdae7b1c2315f299ef89eddcbe898e"",1730403664869,39.264517,-94.515159,0]]}",[],null
